ClickUp Task ID,Task Name,IntegrationType,Singer Tap,Forked,Original Github Repo,Our Forked Tap,Tap License,"Auth
Scope",Has Account Select,"Auth
Type",Has Incremental Update,"Enable
Merge",Developed By,Need Code Improvement,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forked?
INT-21,Tiktok,taboola,tap-taboola,from scratch,,,,taboola/default,0,OAUTH,0,0,Nico Marlon Haesler,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-529,Twitter Ads,tiktok-ads,tap-tiktok-ads,from scratch,,,,tiktok/ads,0,OAUTH,0,0,Vilson Duka,YES,Najada Xara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-832,Typeform,typeform,tap-typeform,forked,singer-io/tap-typeform,https://github.com/goes-funky/tap-typeform,GNU Affero General Public License v3.0,typeform,0,0,1,0,Oltjona,NO,Oltjona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,xero,xero,tap-xero,forked,singer-io/tap-xero,https://github.com/goes-funky/tap-xero,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-237,XLSX,xlsx,no tap,from scratch,,,,,0,0,0,0,Chris,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-71,Yahoo gemini,xml,tap-gemini,forked,singer-io/tap-gemini,https://github.com/goes-funky/tap-gemini,GNU Affero General Public License v3.0,,0,0,0,0,Mohamed Sadek,NO,Ardit Arapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-495,Zendesk,zendesk,tap-zendesk,forked,singer-io/tap-zendesk,https://github.com/goes-funky/tap-zendesk,GNU Affero General Public License v3.0,zendesk/default,0,OAUTH,1,0,Egi Gjevori,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSSQL,mssql,tap-mssql,,https://github.com/singer-io/tap-mssql,,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postgres,postgres,tap-postgres,,https://github.com/singer-io/tap-postgres,https://github.com/goes-funky/tap-postgres,GNU Affero General Public License v3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
